GGS Conference Rating 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Title,Acronym,GGS Class,GGS Rating,Qualified Classes,Collected Classes,All Qualified Classes,MA-Max. Field Rating,MA-Best Rank Field Rating,MA-Best Class Field Rating,MA-All Field Ratings,MA-All Ranks Field Rating,MA-All Classes Field Rating,MA-Max. Avg. Citations,MA-Best Rank Avg. Citations,MA-Best Class Avg. Citations,MA-All Avg. Citations,MA-All Ranks Avg. Citations,MA-All Classes Avg. Citations,MA-Max. Num. of Papers,MA-Max. Citations,MA-All Num. of Papers,MA-All Citations,LiveSHINE-Max. H-Index,LiveSHINE-Best Rank H-Index,LiveSHINE-Best Class H-Index,LiveSHINE-All H-Indexes,LiveSHINE-All Ranks H-Index,LiveSHINE-All Classes H-Index,LiveSHINE-Max. Avg. Citations,LiveSHINE-Best Rank Avg. Citations,LiveSHINE-Best Class Avg. Citations,LiveSHINE-All Avg. Citations,LiveSHINE-All Ranks Avg. Citations,LiveSHINE-All Classes Avg. Citations,LiveSHINE-Max. Num. of Papers,LiveSHINE-Max. Citations,LiveSHINE-All Num. of Papers,LiveSHINE-All Citations,CORE-Best Class,CORE-All Classes,Num. of Input Records
61,IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION,FG,2,A-,"CORE:C, LiveSHINE:A, MA:A+","A+, A, C","CORE:[C], LiveSHINE:[A|A], MA:[A|A++]",81,198,A,"50, 78, 81","198, 218, 460","B, A-, A","54,9",7,A++,"103,19, 22,97, 54,9","7, 47, 243","A, A++, A++",1213,27862,"174, 256, 1213","9553, 26416, 27862",54,151,A,54,151,A,"18,2",221,A,"18,2",221,A,737,13411,737,13411,C,C,5
62,INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN AFRICA,AFRICACRYPT,3,B-,"LiveSHINE:A-, MA:C","A-, C","LiveSHINE:[B|A], MA:[C|B]",28,1170,C,28,1170,C,"14,97",461,B,"14,97",461,B,210,3143,210,3143,30,423,B,30,423,B,"18,55",213,A,"18,55",213,A,186,3450,186,3450,,,2
63,AFRICON,AFRICON,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],28,1170,C,28,1170,C,"3,18",1770,D,"3,18",1770,D,2552,8103,2552,8103,,,,,,,,,,,,,,,,,,,1
64,"COMPUTER GRAPHICS, VIRTUAL REALITY, VISUALISATION AND INTERACTION IN AFRICA",AFRIGRAPH,Work in Progress,Work in Progress,MA:C,C,MA:[C|B],23,1503,C,23,1503,C,"12,01",619,B,"12,01",619,B,143,1718,143,1718,,,,,,,,,,,,,,,,,,,1
65,ARTIFICIAL GENERAL INTELLIGENCE,AGI,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|C]",31,1006,C,31,1006,C,"7,89",988,C,"7,89",988,C,569,4489,569,4489,18,758,C,18,758,C,"6,68",660,D,"6,68",660,D,235,1570,235,1570,,,2
66,AGILE CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE,AGILE_A,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|C],,,,,,,,,,,,,,,,,18,758,C,18,758,C,"7,46",613,C,"7,46",613,C,189,1409,189,1409,,,1
67,AUGMENTED HUMAN INTERNATIONAL CONFERENCE,AH,Work in Progress,Work in Progress,MA:B,B,MA:[B|B-],49,474,B,49,474,B,"11,62",646,B-,"11,62",646,B-,903,10489,903,10489,,,,,,,,,,,,,,,,,,,1
68,INTERNATIONAL CONFERENCE ON ADAPTIVE HYPERMEDIA AND ADAPTIVE WEB-BASED SYSTEMS,AH-UM,Work in Progress,Work in Progress,LiveSHINE:B,B,LiveSHINE:[B|D],,,,,,,,,,,,,,,,,24,572,B,24,572,B,"2,8",946,D,"2,8",946,D,733,2049,733,2049,,,1
69,ADAPTIVE HARDWARE AND SYSTEMS,AHS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],28,1170,C,28,1170,C,"5,16",1402,D,"5,16",1402,D,1027,5298,1027,5298,,,,,,,,,,,,,,,,,,,1
70,CONGRESS OF THE ITALIAN ASSOCIATION FOR ARTIFICIAL INTELLIGENCE,AI*IA,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|D]",26,1289,C,26,1289,C,"6,2",1235,D,"6,2",1235,D,575,3563,575,3563,18,758,C,18,758,C,"5,35",768,D,"5,35",768,D,318,1701,318,1701,,,2
71,AUSTRALASIAN JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE,AI,Work in Progress,Work in Progress,"CORE:NC, MA:C","C, NC","CORE:[NC], MA:[C|D]",35,844,C,35,844,C,"6,93",1101,D,"6,93",1101,D,1172,8124,1172,8124,,,,,,,,,,,,,,,,,NC,NC,2
72,CONFERENCE ON ARTIFICIAL INTELLIGENCE FOR APPLICATIONS,AIA,Not Rated,Not Rated (discontinued event),MA:C,C,MA:[C|C],31,1006,C,31,1006,C,"8,87",873,C,"8,87",873,C,570,5056,570,5056,,,,,,,,,,,,,,,,,,,1
73,ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS,AIAI,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:C, MA:C","C, C, C","CORE:[C], LiveSHINE:[C|D], MA:[C|D]",21,1676,C,21,1676,C,"3,42",1716,D,"3,42",1716,D,1069,3655,1069,3655,16,826,C,16,826,C,"3,16",928,D,"3,16",928,D,554,1752,554,1752,C,C,3
74,ACS/IEEE INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS AND APPLICATIONS,AICCSA,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:B, MA:C","B, C, C","CORE:[C], LiveSHINE:[B|D], MA:[C|D]",34,876,C,34,876,C,"4,82",1470,D,"4,82",1470,D,2106,10150,2106,10150,30,423,B,30,423,B,"5,47",760,D,"5,47",760,D,1216,6647,1216,6647,C,C,3
75,AUSTRALIAN INSTITUTE OF COMPUTER ETHICS CONFERENCE,AICE,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
76,ARTIFICIAL INTELLIGENCE AND COMPUTATIONAL INTELLIGENCE,AICI,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"2,4",1886,D,"2,4",1886,D,1530,3665,1530,3665,,,,,,,,,,,,,,,,,,,1
77,ADVANCED INDUSTRIAL CONFERENCE ON TELECOMMUNICATIONS,AICT,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],29,1098,C,29,1098,C,"3,25",1750,D,"3,25",1750,D,1750,5682,1750,5682,,,,,,,,,,,,,,,,,,,1
78,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN EDUCATION,AIED,3,B,"CORE:A, LiveSHINE:B, MA:B","A, B, B","CORE:[A], LiveSHINE:[B|C], MA:[B|B]",70,260,B,70,260,B,"12,33",600,B,"12,33",600,B,2395,29542,2395,29542,41,256,B,41,256,B,"9,53",483,C,"9,53",483,C,967,9219,967,9219,A,A,3
79,ARTIFICIAL INTELLIGENCE AND INTERACTIVE DIGITAL ENTERTAINMENT,AIIDE,Work in Progress,Work in Progress,"LiveSHINE:B, MA:C","B, C","LiveSHINE:[B|B], MA:[C|D]",19,1873,C,19,1873,C,"5,55",1336,D,"5,55",1336,D,309,1716,309,1716,34,347,B,34,347,B,"14,82",298,B,"14,82",298,B,355,5260,355,5260,,,2
80,INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS,AIM,Work in Progress,Work in Progress,MA:B,B,MA:[B|D],46,540,B,46,540,B,"5,63",1324,D,"5,63",1324,D,4770,26872,4770,26872,,,,,,,,,,,,,,,,,,,1
81,ARTIFICIAL INTELLIGENCE IN MEDICINE IN EUROPE,AIME,Work in Progress,Work in Progress,"CORE:B, LiveSHINE:C, MA:C","B, C, C","CORE:[B], LiveSHINE:[C|D], MA:[C|D]",29,1098,C,29,1098,C,"6,76",1129,D,"6,76",1129,D,967,6534,967,6534,20,700,C,20,700,C,"6,35",688,D,"6,35",688,D,329,2088,329,2088,B,B,3
82,ADVANCES IN MODAL LOGIC,AIML,Work in Progress,Work in Progress,"CORE:B, LiveSHINE:C, MA:C","B, C, C","CORE:[B], LiveSHINE:[C|B-], MA:[C|C]",27,1230,C,27,1230,C,"9,11",850,C,"9,11",850,C,361,3288,361,3288,17,800,C,17,800,C,"10,56",427,B-,"10,56",427,B-,108,1140,108,1140,B,B,3
83,"AUTONOMOUS INFRASTRUCTURE, MANAGEMENT AND SECURITY",AIMS,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|D],,,,,,,,,,,,,,,,,14,862,C,14,862,C,"4,68",821,D,"4,68",821,D,202,946,202,946,,,1
84,"ARTIFICIAL INTELLIGENCE: METHODOLOGY, SYSTEMS, APPLICATIONS",AIMSA,Work in Progress,Work in Progress,"CORE:NC, LiveSHINE:C, MA:C","C, C, NC","CORE:[NC], LiveSHINE:[C|D], MA:[C|D]",22,1595,C,22,1595,C,"4,7",1497,D,"4,7",1497,D,641,3015,641,3015,16,826,C,16,826,C,"6,31",692,D,"6,31",692,D,175,1105,175,1105,NC,NC,3
85,ADVANCED INFORMATION NETWORKING AND APPLICATIONS,AINA,3,B,"CORE:B, LiveSHINE:A-, MA:B","A-, B, B","CORE:[B], LiveSHINE:[A|C], MA:[B|C]",66,294,B,66,294,B,"7,76",1004,C,"7,76",1004,C,5726,44435,5726,44435,49,179,A,49,179,A,"9,6",480,C,"9,6",480,C,1902,18263,1902,18263,B,B,3
86,APPLIED IMAGERY PATTERN RECOGNITION WORKSHOP,AIPR,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],34,876,C,34,876,C,"6,21",1234,D,"6,21",1234,D,1211,7516,1211,7516,,,,,,,,,,,,,,,,,,,1
87,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE PLANNING SYSTEMS,AIPS,Work in Progress,Work in Progress,MA:A-,A-,MA:[B|A++],48,493,B,48,493,B,"33,76",124,A++,"33,76",124,A++,242,8169,242,8169,,,,,,,,,,,,,,,,,,,1
88,ASIA INFORMATION RETRIEVAL SYMPOSIUM,AIRS,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:C, MA:C","C, C, C","CORE:[C], LiveSHINE:[C|D], MA:[C|D]",23,1503,C,23,1503,C,"4,91",1455,D,"4,91",1455,D,665,3263,665,3263,21,667,C,21,667,C,"5,32",771,D,"5,32",771,D,440,2340,440,2340,C,C,3
89,ADVERSARIAL INFORMATION RETRIEVAL ON THE WEB,AIRWEB,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A++],32,963,C,32,963,C,"62,45",35,A++,"62,45",35,A++,49,3060,49,3060,,,,,,,,,,,,,,,,,,,1
90,ARTIFICIAL INTELLIGENCE AND THE SIMULATION OF BEHAVIOUR,AISB,Work in Progress,Work in Progress,MA:C,C,MA:[C|B-],26,1289,C,26,1289,C,"11,46",654,B-,"11,46",654,B-,270,3095,270,3095,,,,,,,,,,,,,,,,,,,1
91,ARTIFICIAL INTELLIGENCE AND SYMBOLIC COMPUTATION,AISC,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|D]",20,1779,C,20,1779,C,"6,45",1173,D,"6,45",1173,D,291,1878,291,1878,7,996,C,7,996,C,"3,21",924,D,"3,21",924,D,66,212,66,212,,,2
92,AUSTRALASIAN INFORMATION SECURITY CONFERENCE,AISC-AUS,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
93,"INTERNATIONAL CONFERENCE ON ANALYSIS OF IMAGES, SOCIAL NETWORKS AND TEXTS",AIST,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
94,INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS,AISTATS,1,A+,"CORE:A, LiveSHINE:A++, MA:A+","A++, A+, A","CORE:[A], LiveSHINE:[A++|A++], MA:[A|A++]",113,102,A,113,102,A,"27,8",179,A++,"27,8",179,A++,2900,80622,2900,80622,88,48,A++,88,48,A++,"45,01",48,A++,"45,01",48,A++,939,42260,939,42260,A,A,3
95,AI & SECURITY WORKSHOP,AISEC,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|B],,,,,,,,,,,,,,,,,19,725,C,19,725,C,"15,79",271,B,"15,79",271,B,68,1074,68,1074,,,1
96,ASLIB JOURNAL OF INFORMATION MANAGEMENT,AJIM,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],25,1356,C,25,1356,C,"8,18",950,C,"8,18",950,C,338,2766,338,2766,,,,,,,,,,,,,,,,,,,1
97,WORKSHOP ON ALGORITHM ENGINEERING AND EXPERIMENTS,ALENEX,3,B,"CORE:A, LiveSHINE:A-, MA:B-","A, A-, B-","CORE:[A], LiveSHINE:[B|A], MA:[C|A-]",39,706,C,39,706,C,"17,38",375,A-,"17,38",375,A-,329,5718,329,5718,28,474,B,28,474,B,"18,75",209,A,"18,75",209,A,151,2832,151,2832,A,A,3
98,ENGG WORKSHOP ON ALGORITHM ENGINEERING,ALG,Work in Progress,Work in Progress,LiveSHINE:B-,B-,LiveSHINE:[C|A++],,,,,,,,,,,,,,,,,4,1021,C,4,1021,C,"1.926,21",1,A++,"1.926,21",1,A++,14,26967,14,26967,,,1
99,EUROPEAN CONFERENCE ON COMPUTER ALGEBRA,ALGEBRA,Work in Progress,Work in Progress,MA:C,C,MA:[C|B-],24,1428,C,24,1428,C,"10,46",727,B-,"10,46",727,B-,244,2552,244,2552,,,,,,,,,,,,,,,,,,,1
100,ALGORITHMIC ASPECTS OF WIRELESS SENSOR NETWORKS,ALGOSENSORS,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:C, MA:C","C, C, C","CORE:[C], LiveSHINE:[C|D], MA:[C|B-]",23,1503,C,23,1503,C,"11,68",641,B-,"11,68",641,B-,232,2710,232,2710,14,862,C,14,862,C,"5,78",741,D,"5,78",741,D,150,867,150,867,C,C,3
101,IEEE INTERNATIONAL SYMPOSIUM ON ARTIFICIAL LIFE,ALIFE,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:C","C, C","CORE:[C], LiveSHINE:[C|D]",,,,,,,,,,,,,,,,,11,921,C,11,921,C,"5,37",766,D,"5,37",766,D,86,462,86,462,C,"C, C",3
102,"ALLERTON CONFERENCE ON COMMUNICATION, CONTROL, AND COMPUTING",ALLERTON,Work in Progress,Work in Progress,MA:A-,A-,MA:[A-|B],75,232,A-,75,232,A-,"12,65",580,B,"12,65",580,B,2854,36092,2854,36092,,,,,,,,,,,,,,,,,,,1
103,ALGORITHMIC LEARNING THEORY,ALT,3,B,"CORE:B, LiveSHINE:B, MA:B","B, B, B","CORE:[B], LiveSHINE:[B|A-], MA:[B|C]",45,564,B,45,564,B,"8,82",882,C,"8,82",882,C,1443,12721,1443,12721,29,448,B,29,448,B,"17,35",238,A-,"17,35",238,A-,337,5848,337,5848,B,B,3
104,AUSTRALASIAN LANGUAGE TECHOLOGY WORKSHOP,ALTA,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
105,ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY,AMAST,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|B], MA:[C|B]",39,706,C,39,706,C,"12,43",592,B,"12,43",592,B,549,6822,549,6822,18,758,C,18,758,C,"13,2",336,B,"13,2",336,B,75,990,75,990,,,2
106,INTERNATIONAL WORKSHOP ON ADVANCED MOTION CONTROL,AMC,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],41,654,C,41,654,C,"7,31",1053,C,"7,31",1053,C,1524,11143,1524,11143,,,,,,,,,,,,,,,,,,,1
107,AMERICAN CONTROL CONFERENCE,AMCC,2,A,"LiveSHINE:A+, MA:A","A+, A","LiveSHINE:[A++|B-], MA:[A+|C]",142,65,A+,142,65,A+,"7,05",1092,C,"7,05",1092,C,46700,329099,46700,329099,92,40,A++,92,40,A++,"10,47",433,B-,"10,47",433,B-,9747,102053,9747,102053,,,2
108,AMERICAS CONFERENCE ON INFORMATION SYSTEMS,AMCIS,3,B,"LiveSHINE:A-, MA:B","A-, B","LiveSHINE:[A|D], MA:[B|D]",48,493,B,48,493,B,"3,01",1798,D,"3,01",1798,D,9549,28735,9549,28735,49,179,A,49,179,A,"4,4",841,D,"4,4",841,D,5156,22664,5156,22664,,,2
109,ARTICULATED MOTION AND DEFORMABLE OBJECTS,AMDO,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"6,28",1212,D,"6,28",1212,D,273,1715,273,1715,,,,,,,,,,,,,,,,,,,1
110,ANALYSIS AND MODELING OF FACES AND GESTURES,AMFG,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A++],20,1779,C,20,1779,C,"29,08",168,A++,"29,08",168,A++,53,1541,53,1541,,,,,,,,,,,,,,,,,,,1
111,AMBIENT INTELLIGENCE,AMI,Work in Progress,Work in Progress,"CORE:C, MA:B","B, C","CORE:[C], MA:[B|B-]",53,420,B,53,420,B,"10,29",737,B-,"10,29",737,B-,2087,21484,2087,21484,,,,,,,,,,,,,,,,,C,C,2
112,AMERICAN MEDICAL INFORMATICS ANNUAL FALL SYMPOSIUM,AMIA,2,A-,"CORE:NC, LiveSHINE:A-, MA:A-","A-, A-, NC","CORE:[NC], LiveSHINE:[A|C], MA:[A-|C]",80,204,A-,80,204,A-,"9,16",844,C,"9,16",844,C,7189,65886,7189,65886,51,168,A,51,168,A,"9,05",515,C,"9,05",515,C,1312,11869,1312,11869,NC,NC,3
113,ADAPTIVE MULTIMEDIA RETRIEVAL,AMR,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],27,1230,C,27,1230,C,"8,06",964,C,"8,06",964,C,397,3201,397,3201,,,,,,,,,,,,,,,,,,,1
114,ASIA INTERNATIONAL CONFERENCE ON MODELLING AND SIMULATION,AMS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],28,1170,C,28,1170,C,"5,62",1325,D,"5,62",1325,D,738,4149,738,4149,,,,,,,,,,,,,,,,,,,1
115,AGENT AND MULTI-AGENT SYSTEMS: TECHNOLOGIES AND APPLICATIONS,AMSTA,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:C, MA:C","C, C, C","CORE:[C], LiveSHINE:[C|D], MA:[C|D]",19,1873,C,19,1873,C,"3,82",1645,D,"3,82",1645,D,763,2914,763,2914,19,725,C,19,725,C,"4,74",815,D,"4,74",815,D,472,2239,472,2239,C,C,3
116,ACTIVE MEDIA TECHNOLOGY,AMT,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],21,1676,C,21,1676,C,"2,2",1917,D,"2,2",1917,D,1394,3072,1394,3072,,,,,,,,,,,,,,,,,,,1
117,CONFERENCE OF THE ASSOCIATION FOR MACHINE TRANSLATION IN THE AMERICAS,AMTA,Work in Progress,Work in Progress,"CORE:B, MA:C","B, C","CORE:[B], MA:[C|B]",33,918,C,33,918,C,"15,97",419,B,"15,97",419,B,428,6836,428,6836,,,,,,,,,,,,,,,,,B,B,2
118,ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT,AMW,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|D],,,,,,,,,,,,,,,,,13,887,C,13,887,C,"4,04",874,D,"4,04",874,D,161,650,161,650,,,1
119,WORKSHOP ON ANALYTIC ALGORITHMICS AND COMBINATORICS,ANALCO,Work in Progress,Work in Progress,"CORE:B, LiveSHINE:C","B, C","CORE:[B], LiveSHINE:[C|C]",,,,,,,,,,,,,,,,,10,938,C,10,938,C,"8,08",575,C,"8,08",575,C,53,428,53,428,B,B,2
120,ARCHITECTURES FOR NETWORKING AND COMMUNICATIONS SYSTEMS,ANCS,3,B,"LiveSHINE:B, MA:B","B, B","LiveSHINE:[B|B], MA:[B|B]",45,564,B,45,564,B,"15,31",448,B,"15,31",448,B,500,7655,500,7655,37,313,B,37,313,B,"14,69",300,B,"14,69",300,B,338,4965,338,4965,,,2
121,ANALYTICS FOR NOISY UNSTRUCTURED TEXT DATA,AND,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A],19,1873,C,19,1873,C,"18,68",343,A,"18,68",343,A,80,1494,80,1494,,,,,,,,,,,,,,,,,,,1
122,CONFERENCE ON APPLIED NATURAL LANGUAGE PROCESSING,ANLP,Work in Progress,Work in Progress,MA:A-,A-,MA:[B|A++],53,420,B,53,420,B,"49,4",55,A++,"49,4",55,A++,282,13930,282,13930,,,,,,,,,,,,,,,,,,,1
123,ARTIFICIAL NEURAL NETWORKS IN PATTERN RECOGNITION,ANNPR,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|D]",21,1676,C,21,1676,C,"6,81",1117,D,"6,81",1117,D,236,1608,236,1608,13,887,C,13,887,C,"5,45",762,D,"5,45",762,D,125,681,125,681,,,2
124,ANNUAL SIMULATION SYMPOSIUM,ANSS,3,B,"LiveSHINE:A-, MA:B","A-, B","LiveSHINE:[B|A], MA:[B|C]",55,401,B,55,401,B,"8,43",921,C,"8,43",921,C,2626,22143,2626,22143,26,511,B,26,511,B,"18,96",204,A,"18,96",204,A,152,2882,152,2882,,,2
125,"INTERNATIONAL CONFERENCE ON AMBIENT SYSTEMS, NETWORKS AND TECHNOLOGIES",ANT,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
126,IEEE INTERNATIONAL CONFERENCE ON ADVANCED NETWORKS AND TELECOMMUNICATIONS SYSTEMS,ANTS,Work in Progress,Work in Progress,MA:B,B,MA:[B|B-],46,540,B,46,540,B,"11,44",657,B-,"11,44",657,B-,1189,13601,1189,13601,,,,,,,,,,,,,,,,,,,1
127,AGENT-ORIENTED INFORMATION SYSTEMS WORKSHOP,AOIS,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|C],,,,,,,,,,,,,,,,,14,862,C,14,862,C,"8,75",534,C,"8,75",534,C,64,560,64,560,,,1
128,ACADEMY OF MANAGEMENT ANNUAL MEETING,AOMAM,Work in Progress,Work in Progress,MA:B,B,MA:[B|B],70,260,B,70,260,B,"14,68",470,B,"14,68",470,B,1840,27012,1840,27012,,,,,,,,,,,,,,,,,,,1
129,ASPECT-ORIENTED SOFTWARE DEVELOPMENT,AOSD,Not Rated,Not Rated (discontinued event),"LiveSHINE:A+, MA:A-","A+, A-","LiveSHINE:[A|A++], MA:[B|A++]",62,327,B,62,327,B,"26,86",193,A++,"26,86",193,A++,511,13724,511,13724,47,199,A,47,199,A,"37,41",70,A++,"37,41",70,A++,191,7146,191,7146,,,2
130,ASIA-PACIFIC BIOINFORMATICS CONFERENCE,APBC,Work in Progress,Work in Progress,"CORE:B, MA:C","B, C","CORE:[B], MA:[C|C]",25,1356,C,25,1356,C,"9,79",788,C,"9,79",788,C,288,2819,288,2819,,,,,,,,,,,,,,,,,B,B,2
131,ASIA PACIFIC CONFERENCE ON COMMUNICATIONS,APCC,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|D]",31,1006,C,31,1006,C,"2,46",1880,D,"2,46",1880,D,4226,10378,4226,10378,,,,,,,,,,,,,,,,,C,C,2
132,ASIA PACIFIC CONFERENCE ON CIRCUITS AND SYSTEMS,APCCAS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],33,918,C,33,918,C,"3,39",1719,D,"3,39",1719,D,3390,11497,3390,11497,,,,,,,,,,,,,,,,,,,1
133,ASIA-PACIFIC CONFERENCE ON CONCEPTUAL MODELLING,APCCM,Work in Progress,Work in Progress,"CORE:NC, MA:C","C, NC","CORE:[NC], MA:[C|B]",24,1428,C,24,1428,C,"15,98",418,B,"15,98",418,B,130,2077,130,2077,,,,,,,,,,,,,,,,,NC,NC,2
134,ASIA-PACIFIC COMPUTER AND HUMAN INTERACTION,APCHI,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"6,45",1177,D,"6,45",1177,D,304,1960,304,1960,,,,,,,,,,,,,,,,,,,1
135,APPLIED POWER ELECTRONICS CONFERENCE,APEC,Work in Progress,Work in Progress,MA:A,A,MA:[A|B],110,110,A,110,110,A,"12,45",589,B,"12,45",589,B,9536,118766,9536,118766,,,,,,,,,,,,,,,,,,,1
136,APPLIED PERCEPTION IN GRAPHICS AND VISUALIZATION,APGV,Work in Progress,Work in Progress,MA:C,C,MA:[C|B],34,876,C,34,876,C,"12,75",571,B,"12,75",571,B,321,4092,321,4092,,,,,,,,,,,,,,,,,,,1
137,INTERNATIONAL CONFERENCE ON APL,APL,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],19,1873,C,19,1873,C,"2,45",1882,D,"2,45",1882,D,978,2397,978,2397,,,,,,,,,,,,,,,,,,,1
138,ASIAN SYMPOSIUM ON PROGRAMMING LANGUAGES AND SYSTEMS,APLAS,3,B-,"CORE:B, LiveSHINE:B, MA:C","B, B, C","CORE:[B], LiveSHINE:[B|B], MA:[C|B-]",38,749,C,38,749,C,"11,09",681,B-,"11,09",681,B-,550,6101,550,6101,33,368,B,33,368,B,15,293,B,15,293,B,260,3901,260,3901,B,B,3
139,ASIA-PACIFIC MICROWAVE CONFERENCE,APMC,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],39,706,C,39,706,C,"2,56",1867,D,"2,56",1867,D,11226,28773,11226,28773,,,,,,,,,,,,,,,,,,,1
140,"INTERNATIONAL SYMPOSIUM ON ADVANCED PACKAGING MATERIALS. PROCESSES, PROPERTIES AND INTERFACES",APMPPI,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],23,1503,C,23,1503,C,"6,87",1112,D,"6,87",1112,D,428,2939,428,2939,,,,,,,,,,,,,,,,,,,1
141,ASIA-PACIFIC MAGNETIC RECORDING CONFERENCE,APMRC,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],36,810,C,36,810,C,"5,98",1279,D,"5,98",1279,D,938,5607,938,5607,,,,,,,,,,,,,,,,,,,1
142,INTERNATIONAL CONFERENCE ON ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS,APMS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],21,1676,C,21,1676,C,"2,42",1884,D,"2,42",1884,D,1708,4136,1708,4136,,,,,,,,,,,,,,,,,,,1
143,ASIA-PACIFIC NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM,APNOMS,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|D]",22,1595,C,22,1595,C,"3,24",1753,D,"3,24",1753,D,1154,3743,1154,3743,,,,,,,,,,,,,,,,,C,C,2
144,CONFERENCE OF THE ASSOCIATION OF ASIAN-PACIFIC OPERATIONAL RESEARCH SOCIETIES,APORS,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
145,IEEE PES ASIA-PACIFIC POWER AND ENERGY ENGINEERING CONFERENCE,APPEEC,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],27,1230,C,27,1230,C,"2,3",1898,D,"2,3",1898,D,6250,14370,6250,14370,,,,,,,,,,,,,,,,,,,1
